@relation 'cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R60-63,66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute '520 Grade' numeric

@data
0.859365,0.839121,1,0,0,0.866945,0.848485,1,0,0,0.859551,0.7,1,0,0,0.864082,0,0,0.098815,0.084176,1,1,0,0,0,1,1,1,0.268817,0.258621,0.294118,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,0.86868,0.330346,0.76534,0.646212,0.583333,f,t,f,f,1
0.740331,0.826149,1,0,0,0.644462,0,1,0.3367,0.393939,0.438202,0,0.75,0.3125,0.75,0.755941,0,0,0.197628,0.16835,0.833334,0,0,0.166666,0.165837,0.98324,0.977273,1,0.182796,0.224138,0.117647,t,f,f,f,t,t,f,f,f,f,f,t,f,t,f,f,f,f,f,0.669114,0.455937,0.406716,0.486617,0.401042,f,t,f,f,0.25
0.396413,0.434028,0.568627,0,0.675,0.71208,0.171717,1,0,0.19697,0.662921,0,1,0.3125,0.25,0.670231,0,0,0.098815,0.3367,0.833334,0,0,0.166666,0.165837,0.29609,0.295455,0.5,0.16129,0.189655,0.117647,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.552806,0.334837,0.511194,0.559092,0.401042,f,t,f,f,0.5
0.637491,0.636574,1,0,0.1125,0.908389,0.878788,1,0,0,0.873596,0.75,1,0,0,0.784908,0,0,0.098815,0.252526,1,1,0,0,0,0.958101,0.943182,1,0.268817,0.224138,0.352941,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.819894,0.43057,0.753317,0.596465,0.583333,f,t,f,f,1
0.785546,0.78125,0.892156,0,0,0.251846,0,1,0.6734,0.590909,0.94382,0.8,1,0,0,0.441325,0,0,0.296443,0.589226,0.166666,0,0,0.833334,0.829188,0.765363,0.829545,0.704545,0.268817,0.275862,0.264706,t,f,f,t,f,t,f,f,f,f,f,t,f,f,t,f,f,f,f,0.396259,0.421987,0,0.491162,0,f,t,f,f,0
0.923704,0.94697,1,0,0,0.981878,0.959596,1,0,0,0.921348,0.7,1,0,0,0.895527,0.333333,0,0,0.071226,1,1,0,0,0,0.972066,0.943182,1,0.926966,0.975097,0.872124,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.947077,0.420143,0.793592,0.566208,0.583333,f,f,t,f,0.9175
0.850363,0.833333,0.905983,0,0,0.714261,0.30303,1,0,0.333333,0.910112,0.8,1,0,0,0.994343,0.9,1,0,0,1,1,0,0,0,0.988826,0.977273,1,0.831905,0.860153,0.808185,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.815615,0.474702,0.781746,0.470868,0.583333,f,f,t,f,0.9175
0.823802,0.803572,0.905983,0,0,0.518625,0.10101,1,0,0.666667,0.738363,0.4,0.875,0,0.2,0.881261,0.259259,1,0,0.071226,0.846154,0,0,0.115384,0.229621,0.793297,0.727273,1,0.702561,0.789355,0.575165,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.634383,0.434657,0.373371,0.305083,0.421296,f,f,t,f,0.75
0.384136,0.493421,0.367815,0,0.375,0.738255,0.545455,1,0,0.166667,0.661316,0.4,1,0,0.6,0.921414,0.75,1,0,0,1,1,0,0,0,0.167598,0.25,0.113636,0.487768,0.477012,0.520462,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.581537,0.313612,0.681652,0.520065,0.583333,f,f,t,f,0.75
0.400895,0.570436,0.449999,0,0.625,0.874832,0.777778,1,0,0,0.765651,0.4,1,0,0.2,0.902296,0.666667,0,0,0.071226,0.769231,0,0,0.230769,0.229621,0.27933,0.045455,0.772727,0.523348,0.515326,0.552429,t,f,f,f,t,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.669815,0.449013,0.727256,0.513248,0.340278,f,f,t,f,0.6675
