@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R60-65-weka.filters.unsupervised.attribute.Remove-R35-38

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Graduated with CS Degree' {YES,NO,NA}

@data
0.49,0.135417,0.746667,0,0.9,0.570519,0,1,0.27,0.45,0.090667,0,0.067568,0.25,0.38,0.59,0,0.857143,0.31,0.46,0.83,0,1,0.08,0.17,0.35,0.12,0.51,0.707071,0.618557,0.83,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.582964,0.643764,0.674603,0.227313,0.496364,t,f,f,f,NO
0.85,0.729167,0.911515,0,0,0.860782,0.757576,1,0,0,0.093333,0.25,0.067568,0,0.25,0.85,0,0.857143,0.15,0.15,0.92,0,1,0.08,0.08,0.99,0.98,1,0.909091,0.896907,0.96,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.884497,0.778342,0.746032,0.982321,0.744545,t,f,f,f,YES
0.74,0.614583,0.882424,0,0.2,0.760691,0.40404,0.98,0,0.36,0.053333,0,0.067568,0.38,0.63,0.78,0,0.857143,0.15,0.23,0.75,0,1,0.25,0.25,0.46,0.46,0.47,0.808081,0.783505,0.85,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.753832,0.691262,0.849206,0.330269,0.744545,t,f,f,f,NO
0.56,0.458333,0.853333,0,0.7,0.860782,0.656566,1,0,0.09,0.050667,0,0.067568,0.38,0.75,0.81,0,0.857143,0.08,0.23,0.5,0,1,0.5,0.5,0.34,0.13,0.57,0.707071,0.608247,0.77,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f,0.713628,0.635848,0.777778,0.716352,0.426364,t,f,f,f,NO
0.46,0,0.727273,0.2,0.8,0.410373,0,1,0.45,0.64,0.045333,0,0.067568,0.63,0.63,0.54,0,0.857143,0.38,0.46,0.71,0,1,0.25,0.25,0.2,0,0.49,0.323232,0,0.63,f,f,t,t,f,f,f,f,f,f,t,f,f,f,f,0.402044,0.540852,0.18254,0.141517,0.343636,t,f,f,f,NO
0.86,0.71875,0.969697,0,0.1,0.870792,0.646465,1,0,0.09,0.06,0,0.067568,0.5,0.5,0.99,0.91,0.857143,0,0,0.92,0,1,0.08,0.08,0.88,0.69,1,0.89899,0.876289,0.92,t,f,f,t,f,f,f,f,f,f,f,f,t,f,f,0.874446,0.754593,0.690476,0.716352,0.744545,t,f,f,f,NO
0.772714,0.486111,0.909091,0,0.3,0.975432,0.939394,1,0,0,0.096667,0.6,0.067568,0,0.5,0.920455,0,0.857143,0.045455,0.045455,0.888889,0,1,0.111111,0.111111,0.98,0.96,1,0.641414,0.536082,0.75,f,f,t,t,f,f,f,f,t,f,f,f,f,f,f,0.92015,0.814791,0.765344,0.825808,0.763636,f,t,f,f,NO
0.660213,0,0.937374,0.2,0.2,0.609645,0,1,0.363636,0.363636,0.026667,0,0.054054,0.75,0.75,0.7875,0,0.857143,0.181818,0.227273,0.777778,0,1,0.222222,0.222222,0.49,0,0.98,0.237374,0,0.47,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,0.623857,0.47686,0.17672,0.368877,0.318182,f,t,f,f,NO
0.71358,0.610632,0.818182,0,0.3,0.832575,0.494949,1,0,0.181818,0.1,0.4,0.067568,0,0.25,0.89803,0,0.857143,0.045455,0.090909,0.888889,0,1,0.111111,0.111111,0.545,0.32,0.77,0.525253,0.474227,0.58,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.800527,0.691946,0.62672,0.747291,0.763636,f,t,f,f,NO
0.720658,0,0.941176,0.1,0.3,0.585988,0,1,0.181818,0.363636,0,0,0,1,1,0.843636,0,0.857143,0.136364,0.181818,0.777778,0,1,0.222222,0.222222,0.96,0.92,1,0.338384,0,0.67,f,t,f,f,t,f,f,f,f,f,f,f,t,f,f,0.658193,0.851161,0.208201,0.627436,0.890909,f,t,f,f,YES
