@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R43-44-weka.filters.unsupervised.attribute.Remove-R43-44-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,43'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Male_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'CS Major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'ECE major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Standing {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester {'\'(-inf-0.75]\'','\'(0.75-1.5]\'','\'(1.5-2.25]\'','\'(2.25-inf)\''}
@attribute '520 Grade' numeric

@data
0.927279,0.805556,1,0,0,0.943636,0.84,1,0,0,0.875,0.7,1,0,0,0.930682,0,1,0.045455,0.045455,1,1,1,0,0,1,1,1,0.65,0.54,0.76,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(4.285714-5.142857]\'',0.941356,-0.059216,-0.028667,0.097727,0,'\'(0.75-1.5]\'',4
0.865728,0.793103,1,0,0,0.850909,0,1,0.090909,0.181818,0.5,0,0.9,0.25,0.75,0.87553,0,1,0.090909,0.090909,0.888889,0,1,0.111111,0.111111,0.99,0.98,1,0.61,0.52,0.7,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(-inf-0.857143]\'',0.859961,0.000734,-0.317,0.00197,-0.25,'\'(0.75-1.5]\'',1
0.687891,0.416667,0.882353,0,0.6,0.879091,0.17,1,0,0.090909,0.7,0,1,0.25,0.25,0.831818,0,1,0.045455,0.181818,0.888889,0,1,0.111111,0.111111,0.58,0.38,0.78,0.6,0.5,0.7,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.812524,-0.057072,-0.233,0.045455,-0.25,'\'(0.75-1.5]\'',2
0.81255,0.611111,1,0,0.1,0.960909,0.87,1,0,0,0.8875,0.75,1,0,0,0.890303,0,1,0.045455,0.136364,1,1,1,0,0,0.975,0.95,1,0.65,0.52,0.78,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(3.428571-4.285714]\'',0.921458,-0.011375,-0.038333,0.067879,0,'\'(0.75-1.5]\'',4
0.889108,0.75,0.970588,0,0,0.687273,0,1,0.181818,0.272727,0.95,0.8,1,0,0,0.715076,0,1,0.136364,0.318182,0.444444,0,1,0.555556,0.555556,0.86,0.85,0.87,0.65,0.55,0.75,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(1.714286-2.571429]\'',0.748675,-0.015472,-0.644,0.004697,-0.8,'\'(0.75-1.5]\'',0
0.960548,0.909091,1,0,0,0.991538,0.95,1,0,0,0.93,0.7,1,0,0,0.946719,0.333333,1,0,0.038462,1,1,1,0,0,0.983333,0.95,1,0.956039,0.955556,0.956522,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.973331,-0.016352,-0.005952,0.049725,0,'\'(1.5-2.25]\'',3.67
0.922624,0.8,0.974359,0,0,0.88,0.3,1,0,0.153846,0.92,0.8,1,0,0,0.997115,0.9,1.166667,0,0,1,1,1,0,0,0.993333,0.98,1,0.911836,0.888889,0.934783,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.919713,0.009691,-0.015476,-0.007479,0,'\'(1.5-2.25]\'',3.67
0.90889,0.771429,0.974359,0,0,0.798462,0.1,1,0,0.307692,0.767143,0.4,0.95,0,0.2,0.939443,0.259259,1.166667,0,0.038462,0.897436,0,1,0.076923,0.153846,0.876667,0.76,1,0.851691,0.847826,0.855556,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.845796,-0.009424,-0.34381,-0.10695,-0.222222,'\'(1.5-2.25]\'',3
0.681543,0.473684,0.827586,0,0.333333,0.89,0.54,1,0,0.076923,0.698571,0.4,1,0,0.6,0.959921,0.75,1.166667,0,0,1,1,1,0,0,0.503333,0.34,0.61,0.751812,0.666667,0.836957,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.824242,-0.067204,-0.095952,0.022039,0,'\'(1.5-2.25]\'',3
0.690209,0.547619,0.85,0,0.555556,0.946923,0.77,1,0,0,0.791429,0.4,1,0,0.2,0.950171,0.666667,1,0,0.038462,0.846154,0,1,0.153846,0.153846,0.57,0.16,0.9,0.768357,0.688889,0.847826,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.860247,-0.002571,-0.059286,0.017949,-0.333333,'\'(1.5-2.25]\'',2.67
0.854082,0.714286,1,0,0,0.938462,0.7,1,0,0,0.755714,0,1,0.2,0.2,0.935388,0.375,1.166667,0,0.076923,0.846154,0,1,0.153846,0.153846,0.92,0.78,1,0.856522,0.8,0.913043,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(2.571429-3.428571]\'',0.911988,0.071744,-0.068333,-0.057186,-0.333333,'\'(1.5-2.25]\'',2
0.928066,0.772727,1,0,0,0.931538,0.41,1,0,0.076923,0.897143,0.8,0.95,0,0,0.989683,0.866667,1.166667,0,0,0.974359,0.666667,1,0,0.076923,0.92,0.77,1,0.955918,0.944444,0.967391,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(1.714286-2.571429]\'',0.942627,-0.077245,-0.101905,-0.018681,-0.055556,'\'(1.5-2.25]\'',2
0.718656,0,0.923077,0.111111,0.222222,0.970769,0.87,1,0,0,0.882857,0.8,1,0,0,0.972735,0.625,1.166667,0,0.038462,0.846154,0,1,0.153846,0.153846,0.926667,0.88,0.98,0.846014,0.833333,0.858696,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.910696,-0.087024,-0.023095,-0.041709,-0.333333,'\'(1.5-2.25]\'',3.33
0.744277,0.4,0.868421,0,0.222222,0.964615,0.86,1,0,0,0.89,0.7,1,0,0,0.878382,0,1.166667,0.038462,0.115385,0.984615,0.8,1,0,0,0.466667,0.15,0.74,0.708454,0.677778,0.73913,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(3.2-inf)\'','\'(-inf-0.857143]\'',0.84576,0.091223,-0.020952,-0.038474,0.028571,'\'(1.5-2.25]\'',3.33
0.818235,0.657143,0.923077,0,0.111111,0.893846,0.63,1,0,0.153846,0.58,0,0.9,0.2,0.6,0.982424,0.916667,1,0,0,0.846154,0,1,0.153846,0.153846,0.79,0.37,1,0.917754,0.902174,0.933333,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.889648,0.080383,-0.121667,0.011905,-0.02381,'\'(1.5-2.25]\'',3
0.719436,0.526316,0.9,0,0.666667,0.871538,0.35,1,0,0.153846,0.7,0,1,0.2,0.4,0.96656,0.625,1.166667,0,0.038462,0.980769,0.75,1,0,0,0.53,0.23,0.86,0.686111,0.622222,0.75,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(2.571429-3.428571]\'',0.820178,-0.069245,-0.200952,-0.030641,-0.041667,'\'(1.5-2.25]\'',3
0.886647,0.75,0.977273,0,0,0.983846,0.8,1,0,0,0.825714,0.4,1,0,0.2,0.965006,0.4,1.166667,0,0.038462,1,1,1,0,0,0.99,0.98,1,0.857488,0.826087,0.888889,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(4.285714-5.142857]\'',0.955042,0.088444,-0.035,0.049475,0,'\'(1.5-2.25]\'',4
0.658785,0.564103,0.87,0,0.777778,0.717692,0,1,0.076923,0.307692,0.668571,0.2,0.95,0,0.4,0.894527,0.4,1.166667,0,0.153846,0.858974,0,1,0.076923,0.230769,0.41,0.2,0.7,0.635386,0.455556,0.815217,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(-inf-0.857143]\'',0.698397,-0.129616,-0.261905,-0.1529,-0.305556,'\'(1.5-2.25]\'',3.67
