@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R61-66-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Took 416' {YES,NO}

@data
0.73,0.552083,0.882424,0,0.3,0.89081,0.616162,1,0,0.18,0.118667,0.61,0.067568,0,0.13,0.95,0.75,0.857143,0,0,0.57,0,1,0.33,0.5,0.88,0.76,0.98,0.89899,0.835052,0.93,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.834241,0.833757,0.666667,0.690613,0.21,t,f,f,f,YES
0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,t,f,f,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,f,0,0.730844,0.777778,0.733511,0.636363,t,f,f,f,NO
0.68,0.458333,0.882424,0,0.5,0.790719,0,1,0.09,0.09,0.092,0,0.067568,0.25,0.25,0.81,0,0.857143,0.15,0.15,0.74,0,1,0.25,0.25,0.57,0.54,0.59,0.848485,0.773196,0.92,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.743781,0.683346,0.587302,0.450384,0.540909,t,f,f,f,NO
0.58,0.34375,0.785455,0,0.8,0.380346,0,0.85,0.27,0.64,0.048,0,0.067568,0.38,0.75,0.81,0,0.857143,0.08,0.23,0.9,0,1,0.08,0.08,0.39,0.18,0.6,0.646465,0.525773,0.8,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.502555,0.67543,0.293651,0.613397,0.515454,t,f,f,f,NO
0.86,0.71875,0.969697,0,0.1,0.960873,0.848485,1,0,0,0.117333,0.5,0.067568,0,0.25,1,1,0.857143,0,0,0.83,0,1,0.17,0.17,0.86,0.8,0.97,0.929293,0.907216,0.95,f,f,t,f,t,t,f,f,f,f,t,f,f,t,f,f,f,f,f,0.924701,0.659597,0.753968,0.733511,0.642727,t,f,f,f,YES
0.7,0.552083,0.843636,0,0.4,0.830755,0.494949,1,0,0.27,0.057333,0,0.067568,0.5,0.63,0.91,0,0.857143,0.08,0.08,0.92,0,1,0.08,0.08,0.66,0.42,0.8,0.818182,0.804124,0.86,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.804088,0.604183,0.746032,0.587658,0.528182,t,f,f,f,YES
0.82,0.6875,0.940606,0,0.1,0.980892,0.909091,1,0,0,0.125333,0.75,0.067568,0,0,0.95,0.75,0.857143,0,0,0.96,0.5,1,0,0.08,0.76,0.68,0.81,0.929293,0.896907,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.934752,0.786259,0.801587,0.707773,0.687273,t,f,f,f,YES
0.95,0.864583,0.969697,0,0,0.940855,0.858586,1,0,0,0.133333,1,0.067568,0,0,0.96,0.77,0.857143,0,0,0.97,0.75,1,0,0,0.95,0.86,1,0.959596,0.927835,0.97,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.954854,0.67543,0.753968,0.690613,0.655454,t,f,f,f,YES
0.81,0.65625,0.911515,0,0.2,0.680619,0,1,0.18,0.18,0.112,0.44,0.067568,0,0.25,0.8,0,0.857143,0.08,0.23,0.79,0,1,0.08,0.33,0.74,0.64,0.86,0.89899,0.824742,0.95,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.763884,0.778342,0.936508,0.54476,0.534545,t,f,f,f,YES
0.73,0.458333,0.969697,0,0.5,0.750682,0,1,0.18,0.18,0.096,0,0.067568,0.25,0.25,0.88,0,0.857143,0.08,0.15,0.9,0,1,0.08,0.08,0.68,0.58,0.79,0.828283,0.608247,0.97,t,f,f,f,t,t,f,f,t,f,f,f,f,t,f,f,f,f,f,0.794037,0.722928,1,0.922263,0.757273,t,f,f,f,NO
1,1,0.969697,0,0,0.870792,0,1,0.09,0.09,0.112,0,0.067568,0.13,0.13,0.98,0.83,0.857143,0,0,0.9,0,1,0.08,0.08,0.99,0.96,1,1,1,1,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.934752,0.738761,0.849206,0.716352,0.77,t,f,f,f,YES
0.76,0.552083,0.911515,0,0.3,0.89081,0.757576,1,0,0,0.106667,0,0.067568,0.13,0.25,0.77,0,0.857143,0.08,0.31,0.98,0.75,1,0,0,0.34,0.23,0.47,0.888889,0.85567,0.92,f,f,t,f,t,t,f,f,f,t,f,f,f,t,f,f,f,f,f,0.834241,0.691262,0.793651,0.630556,0.661818,t,f,f,f,NO
0.85,0.65625,0.911515,0,0.1,0.960873,0.909091,1,0,0,0.133333,1,0.067568,0,0,0.98,0.86,0.857143,0,0,1,1,1,0,0,0.59,0.51,0.64,0.878788,0.865979,0.9,f,f,t,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.924701,0.659597,0.785714,0.707773,0.636363,t,f,f,f,YES
