@relation 'cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R60-61,63,65-66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Took 520' {YES,NO}

@data
0.908414,0.802083,1,0,0,0.965832,0.888889,1,0,0,0.876404,0.5,1,0,0.25,0.823177,0,0,0.117647,0.197368,1,1,0,0,0,1,0.99,1,0.979798,1,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.956465,0.869367,0.780641,0.865088,0.826446,t,f,f,f,NO
0.816828,0.71875,1,0,0.1125,0.848378,0.646465,1,0,0.106364,0.382022,0,1,0.625,0.5,0.986398,0.91,0,0,0,0.88,0,0,0.12,0.119403,0.88,0.69,1,0.89899,0.876289,0.92,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.844247,0.761117,0.676184,0.596742,0.966942,t,f,f,f,YES
0.555433,0,0.876544,0.3,0.225,0.54193,0,1,0.429752,0.429752,0.101124,0,0.5,0.9375,0.75,0.710963,0,0,0.267379,0.299043,0.666667,0,0,0.333333,0.331675,0.49,0,0.98,0.237374,0,0.47,t,f,f,t,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,0.533387,0.218571,0,0.102741,0.413223,f,t,f,f,NO
0.591509,0.488281,0.537037,0,0.5625,0.569692,0,0.6,0.214876,0.429752,0.269663,0,0.75,0.625,0.75,0.772274,0,0,0.200535,0.239234,0.500001,0,0,0.499999,0.497512,0.535,0.44,0.63,0.510101,0.319588,0.7,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.587101,0.684274,0.19603,0.467743,0.950413,f,t,f,f,NO
0.726035,0,0.897119,0.15,0.1125,0.692485,0,1,0.107438,0.322314,0.438202,0,0.75,0.3125,0.75,0.808855,0,0,0.13369,0.119617,0.666667,0,0,0.333333,0.331675,0.96,0.92,1,0.590909,0.484536,0.7,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.73245,1,0.298398,0.403984,0.785124,f,t,f,f,YES
0.52424,0.462963,0.128541,0,0.9,0.902834,0.767677,1,0,0,0.775281,0.3,1,0,0.25,0.888713,0.5,0,0,0.119617,1,1,0,0,0,0.695,0.47,0.92,0.530303,0.412371,0.65,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.808282,0.567233,0.759749,0.532428,0.826446,f,t,f,f,NO
0.808681,0.752315,1,0,0,0.920985,0.727273,1,0,0,0.845506,0.75,1,0,0,0.985058,0.85,0,0,0,1,1,0,0,0,0.85,0.81,0.89,0.631313,0.597938,0.67,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.906317,0.711139,0.718663,0.594339,0.826446,f,t,f,f,YES
0.779408,0.694445,0.891067,0,0.225,0.869733,0.69697,1,0,0.107438,0.719101,0.5,1,0,0.25,0.948581,0.833333,0,0,0,1,1,0,0,0,0.965,0.95,0.98,0.661616,0.587629,0.74,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.879002,0.756586,0.729457,0.548876,0.826446,f,t,f,f,NO
0.450805,0.367647,0.128541,0,0.675,0.645503,0,1,0.107438,0.322314,0.733146,0.6,0.75,0,0.25,0.891805,0.4,0,0,0.119617,1,1,0,0,0,0.325,0.15,0.5,0.449495,0.402062,0.5,t,f,f,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,f,0.627284,0.526422,0.302228,0.704302,0.826446,f,t,f,f,NO
0.61558,0.553385,0.673204,0,0.5625,0.883614,0.656566,1,0,0.107438,0.859551,0.7,1,0,0,0.78464,0,0,0.066846,0.179426,1,1,0,0,0,0.475,0.43,0.52,0.570707,0.494845,0.65,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.790245,0.595658,0.683844,0.571238,0.826446,f,t,f,f,NO
