@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R45-48,50-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,44-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R2-4,6,8-24,26-30,32,34,36-37,39-43'

@attribute 'Q Avg' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Min' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'Exam Max' numeric
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'ECE major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '415 Final Grade' numeric
@attribute '416 Grade' numeric

@data
0.624726,0.555556,0,0.25,0.786667,'\'(0.5-inf)\'','\'(-inf-0.5]\'',0.6216,0
0.691722,0.333333,0.88,0.083333,0.76,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8763,2.67
0.836637,0,0,0.166667,0.78,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8505,3
0.817581,0.111111,0,0.5,0.786667,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.7929,2
0.733869,0.444444,0.44,0.083333,0.946667,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.778,2.67
0.892949,0,0,0.25,0.85,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8267,1.67
0.569905,0.777778,0,0.166667,0.8,'\'(0.5-inf)\'','\'(-inf-0.5]\'',0.7462,0
0.833225,0.222222,0.83,0.083333,0.9,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.9028,3
0.631535,0.666667,0.55,0,0.793333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8195,2.33
0.601843,0.777778,0.78,0,0.69,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8602,2
0.789047,0.222222,0.53,0,0.76,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8521,2
0.775209,0.555556,0.73,0.166667,0.826667,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8658,3
0.833771,0,0,0.083333,0.813333,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8292,1
0.910822,0,0.85,0.083333,0.92,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9336,3.67
0.707219,0.333333,0.7,0,0.706667,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8499,0
0.830374,0.111111,0.87,0,0.84,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9214,3.67
0.540047,0.777778,0.47,0.083333,0.8,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.7765,1.33
0.677597,0.555556,0,0.25,0.6,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.7159,0
0.512894,0.444444,0,0.666667,0.986667,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8428,0
0.636258,0.444444,0.63,0,0.666667,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8446,2.67
0.805305,0.222222,0,0.083333,0.89,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8096,3.67
0.805329,0.222222,0.78,0,0.853333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8928,3.33
0.837257,0.111111,0.88,0,0.88,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9396,3.67
0.648703,0.555556,0.71,0.333333,0.753333,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8118,1.67
0.879251,0.111111,0.58,0,0.953333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8908,3.67
0.860807,0.111111,0.93,0,0.933333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9633,3.67
0.728726,0.444444,0,0,0.753333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.7508,0
0.751004,0.444444,0.78,0.25,0.866667,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8701,1.33
0.765685,0.222222,0.67,0.916667,0.76,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8368,0
0.763335,0.222222,0.8,0.166667,0.893333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9094,3.33
0.719432,0.333333,0,0.083333,0.76,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.7978,2.33
0.903359,0,0.77,0,0.933333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9387,3.67
0.779594,0.222222,0.65,0,0.773333,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8807,2
0.946486,0,0.87,0.25,0.9,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.943,3.33
0.867415,0.111111,0.45,0.083333,0.933333,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.8964,1
0.750167,0.333333,0.17,0,0.806667,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.8408,2.67
0.788303,0.111111,0,0.083333,0.79,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.7638,0
0.934567,0,0.92,0,0.95,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9727,4
