"Code","Q Avg","Q Min","Q Max","Q % Zeros","Q % below 70%","P Avg","P Min","P Max","P % Zeros","P % below 70%","PRE Avg","PRE Min","PRE Max","PRE % Zeros","PRE % below 70%","L Avg","L Min","L Max","L % Zeros","L % below 70%","R Avg","R Min","R Max","R % Zeros","R % below 70%","OLE Avg","OLE Min","OLE Max","Exam Avg","Exam Min","Exam Max","Male","Female","CS Major","ECE major","Standing","Math Class","415 Final Grade","Q Diff","P Diff","L Diff","R Diff","Took 416","416 Grade","Took 515","515 Grade","Took 520","520 Grade","Graduated with CS Degree","Semester"
327,0.62,0.44,0.90,0.00,0.70,0.73,0.00,1.00,0.09,0.18,0.30,0.00,1.00,0.50,0.88,0.80,0.00,1.00,0.15,0.23,0.75,0.00,1.00,0.17,0.25,0.45,0.27,0.58,0.76,0.72,0.78,1.00,0.00,0.00,1.00,0.00,0.00,0.68,-0.11,-0.15,-0.36,0.34,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
114,0.17,0.00,0.56,0.60,1.00,0.07,0.00,0.80,0.91,0.91,0.31,0.00,1.00,0.63,0.75,0.31,0.00,1.00,0.69,0.69,0.35,0.00,1.00,0.58,0.67,0.08,0.00,0.25,0.24,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.15,-0.34,-0.13,-0.57,-0.71,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
329,0.64,0.38,0.77,0.00,0.60,0.67,0.00,1.00,0.09,0.27,0.81,0.25,1.00,0.00,0.25,0.76,0.00,1.00,0.15,0.23,0.92,0.50,1.00,0.00,0.08,0.39,0.14,0.65,0.73,0.67,0.77,0.00,0.00,0.00,1.00,0.00,0.00,0.70,0.00,-0.15,-0.11,0.01,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
106,0.91,0.68,1.00,0.00,0.10,0.94,0.71,1.00,0.00,0.00,0.96,0.75,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.99,0.86,1.00,0.00,0.00,0.98,0.95,1.00,0.94,0.90,0.98,1.00,0.00,0.00,1.00,0.00,0.00,0.95,0.06,0.01,0.00,0.02,1.00,3.67,1.00,2.67,0.00,-1.00,1.00,0
94,0.54,0.31,0.78,0.00,0.70,0.63,0.15,0.95,0.00,0.55,0.45,0.11,1.00,0.00,0.75,0.77,0.33,1.00,0.00,0.38,0.97,0.75,1.00,0.00,0.00,0.45,0.24,0.58,0.58,0.49,0.63,0.00,0.00,1.00,0.00,0.00,2.00,0.65,-0.15,-0.06,-0.02,0.01,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
163,0.52,0.22,0.70,0.00,0.90,0.59,0.00,0.98,0.18,0.45,0.49,0.00,1.00,0.38,0.63,0.78,0.00,1.00,0.15,0.23,0.92,0.67,1.00,0.00,0.08,0.43,0.22,0.56,0.50,0.47,0.54,0.00,0.00,0.00,1.00,0.00,0.00,0.61,-0.06,-0.12,-0.13,0.01,1.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0
57,0.73,0.53,0.91,0.00,0.30,0.89,0.61,1.00,0.00,0.18,0.89,0.61,1.00,0.00,0.13,0.95,0.75,1.00,0.00,0.00,0.57,0.00,1.00,0.33,0.50,0.88,0.76,0.98,0.89,0.81,0.93,1.00,0.00,0.00,1.00,0.00,0.00,0.83,0.13,-0.14,-0.05,-0.67,1.00,1.00,0.00,-1.00,0.00,-1.00,0.00,0
256,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
118,0.68,0.44,0.91,0.00,0.50,0.79,0.00,1.00,0.09,0.09,0.69,0.00,1.00,0.25,0.25,0.81,0.00,1.00,0.15,0.15,0.74,0.00,1.00,0.25,0.25,0.57,0.54,0.59,0.84,0.75,0.92,1.00,0.00,0.00,1.00,0.00,0.00,0.74,-0.06,-0.24,-0.33,-0.15,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
268,0.58,0.33,0.81,0.00,0.80,0.38,0.00,0.85,0.27,0.64,0.36,0.00,1.00,0.38,0.75,0.81,0.00,1.00,0.08,0.23,0.90,0.00,1.00,0.08,0.08,0.39,0.18,0.60,0.64,0.51,0.80,1.00,0.00,1.00,0.00,0.00,2.00,0.50,-0.07,-0.61,-0.14,-0.19,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
