@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R62-66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute '416 Grade' numeric

@data
0.826042,0.752315,1,0,0,0.917686,0.727273,1,0,0,0.8625,0.75,1,0,0,0.984769,0.85,0,0,0,1,1,0,0,0,0.85,0.81,0.89,0.631313,0.597938,0.67,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.909335,0.831368,0.730217,0.589719,0.773125,f,t,f,f,0.75
0.799425,0.694445,0.90196,0,0.222222,0.864294,0.69697,1,0,0.110865,0.75,0.5,1,0,0.25,0.947584,0.833333,0,0,0,1,1,0,0,0,0.965,0.95,0.98,0.661616,0.587629,0.74,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.8829,0.857899,0.740568,0.543739,0.773125,f,t,f,f,0.5825
0.500641,0.367647,0.215687,0,0.666667,0.630701,0,1,0.111111,0.332594,0.7625,0.6,0.9,0,0.25,0.889706,0.4,0,0,0.125,1,1,0,0,0,0.325,0.15,0.5,0.449495,0.402062,0.5,t,f,f,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,f,0.639291,0.723533,0.330885,0.700935,0.773125,f,t,f,f,0.3325
0.650464,0.553385,0.705883,0,0.555556,0.878754,0.656566,1,0,0.110865,0.875,0.7,1,0,0,0.780463,0,0,0.066667,0.1875,1,1,0,0,0,0.475,0.43,0.52,0.570707,0.494845,0.65,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.797002,0.763952,0.696828,0.566355,0.773125,f,t,f,f,0.3325
0.793248,0.729167,0.80392,0,0,0.878754,0.686869,1,0,0.110865,0.725,0,1,0.25,0.25,0.970063,0.75,0,0,0,0.518519,0,0,0.481481,0.481481,0.875,0.75,1,0.646465,0.556701,0.74,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.857731,0.899876,0.810684,0.563551,0,f,t,f,f,0.1675
0.919329,0.827206,1,0,0,0.949945,0.858586,1,0,0,0.9,0.6,1,0,0.25,0.940651,0.775,0,0,0,1,1,0,0,0,0.99,0.98,1,0.69697,0.587629,0.81,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.953726,0.915184,0.806678,0.571028,0.773125,f,t,f,f,1
0.888486,0.798611,1,0,0,0.929922,0.848485,1,0,0,0.475,0,1,0.5,0.5,0.931723,0.6,0,0,0.062501,0.638889,0,0,0.361111,0.361111,1,1,1,0.681818,0.597938,0.77,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.906697,0.876289,0.719199,0.528972,0.541187,f,t,f,f,0.75
0.676788,0.578704,0.907407,0,0.555556,0.68743,0.30303,1,0,0.443459,0.2,0,0.7,0.5,0.75,0.873424,0.1,0,0,0.125,1,1,0,0,0,0.43,0.38,0.48,0.520202,0.42268,0.62,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.69478,0.857426,0.53222,0.638318,0.773125,f,t,f,f,0
0.863051,0,1,0.125,0.111111,0.991101,0.959596,1,0,0,0.75,0,1,0.25,0.25,1,1,0,0,0,1,1,0,0,0,1,1,1,0.70202,0.597938,0.81,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.967456,0.637642,0.814691,0.616822,0.773125,f,t,f,f,1
0.391601,0,0.555557,0.375,0.666667,0.924361,0.858586,1,0,0,0.8375,0.75,1,0,0,0.881828,0.125,0,0,0.125,1,1,0,0,0,0.875,0.75,1,0.60101,0.443299,0.76,f,f,t,f,t,t,f,f,t,f,f,f,f,t,f,f,f,f,f,0.815893,0.697703,0.756928,0.552336,0.773125,f,t,f,f,0.6675
