@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R45-49,51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,44-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8,10-25,29,31-32,34-36,41-43'

@attribute 'Q Max' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P \% Zeros' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Min' numeric
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'Took 416_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
0.948718,0.111111,0.88,0,1,1,1,0.86,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8945,0.085367,-0.086667,'\'(0.5-inf)\''
1,0.111111,0.926923,0,0.98,0.95,1,0.86,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.9251,0.051636,-0.062381,'\'(0.5-inf)\''
0.676471,1,0.335385,0.615385,0.333333,0,1,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.3989,-0.533703,-0.622857,'\'(-inf-0.5]\''
0.852941,0.777778,0.857692,0,0.263333,0.09,0.59,0.493333,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.7676,-0.251762,-0.131905,'\'(-inf-0.5]\''
1,0.111111,0.9,0.076923,1,1,1,0.88,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.9008,-0.230833,-0.154762,'\'(0.5-inf)\''
0.878788,0.555556,0.594615,0.230769,0.363333,0.08,0.71,0.78,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.6216,0.028562,-0.036429,'\'(0.5-inf)\''
0.825,0.222222,0.896154,0,0.823333,0.57,1,0.76,'\'(-inf-0.5]\'','\'(5.142857-inf)\'',0.8734,0.061838,-0.16,'\'(-inf-0.5]\''
0.825,0.333333,0.962308,0,0.616667,0.33,1,0.67,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8763,-0.068538,-0.007381,'\'(0.5-inf)\''
0.9375,0.666667,0.674615,0.076923,0.513333,0.12,0.95,0.5,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.687,-0.283293,-0.472857,'\'(-inf-0.5]\''
0.909091,0,0.791538,0.076923,1,1,1,0.753333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8505,-0.00099,-0.340238,'\'(0.5-inf)\''
0.9,0.111111,0.745385,0.153846,0.76,0.28,1,0.65,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.7929,-0.076432,-0.372143,'\'(0.5-inf)\''
0.891304,0.444444,0.749231,0,0.633333,0.32,0.98,0.81,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.778,-0.04961,-0.249286,'\'(0.5-inf)\''
1,0,0.749231,0.076923,0.953333,0.86,1,0.753333,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.8267,-0.108993,-0.305,'\'(0.5-inf)\''
0.787879,0.888889,0.827692,0,0.58,0.29,0.9,0.53,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7803,-0.028064,-0.100952,'\'(-inf-0.5]\''
0.974359,0,0.949231,0,1,1,1,0.866667,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.9462,0.051449,-0.001667,'\'(-inf-0.5]\''
0.852941,0.222222,0.468462,0.384615,0.306667,0,0.92,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.4862,-0.424878,-0.693571,'\'(-inf-0.5]\''
0.9,0.555556,0.679231,0,0.886667,0.76,0.97,0.58,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7382,-0.020634,-0.072857,'\'(-inf-0.5]\''
0.882353,0.777778,0.747692,0.153846,0.923333,0.9,0.95,0.7,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.7462,-0.250683,-0.165952,'\'(0.5-inf)\''
0.6875,1,0.893846,0,0.476667,0.08,1,0.58,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.8066,0.019051,-0.103095,'\'(-inf-0.5]\''
0.625,1,0.713846,0.153846,0.256667,0,0.75,0.46,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.655,-0.269481,-0.520952,'\'(-inf-0.5]\''
0.764706,0.888889,0.444615,0.384615,0.443333,0.18,0.92,0.56,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.5267,-0.254059,-0.590476,'\'(-inf-0.5]\''
0.647059,1,0.863846,0,0.353333,0.08,0.79,0.51,'\'(-inf-0.5]\'','\'(5.142857-inf)\'',0.7413,-0.216148,-0.084524,'\'(-inf-0.5]\''
1,0,0.92,0,0.96,0.88,1,0.83,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.9262,-0.020646,-0.052619,'\'(-inf-0.5]\''
0.975,0.444444,0.774615,0,0.313333,0.06,0.63,0.613333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7324,-0.270393,-0.058095,'\'(-inf-0.5]\''
1,0.111111,0.9,0.076923,0.986667,0.96,1,0.9,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.9138,-0.203553,-0.167143,'\'(-inf-0.5]\''
0.95,0.222222,0.91,0,0.746667,0.27,1,0.826667,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.9028,-0.024909,0.012381,'\'(0.5-inf)\''
0.8375,0.666667,0.881538,0,0.52,0.21,0.84,0.61,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.8195,-0.036804,-0.117381,'\'(0.5-inf)\''
0.9,0.777778,0.147692,0.846154,0,0,0,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.1929,-0.424242,-0.274286,'\'(-inf-0.5]\''
0.852941,0.777778,0.926154,0,0.806667,0.47,1,0.646667,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.8602,0.051915,-0.011429,'\'(0.5-inf)\''
0.766667,0.777778,0.402308,0.538462,0.283333,0,0.85,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.4382,-0.542679,-0.747143,'\'(-inf-0.5]\''
0.8,0.777778,0.782308,0,0.3,0,0.85,0.55,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7245,-0.169333,-0.162143,'\'(-inf-0.5]\''
0.787879,0.666667,0.705385,0.076923,0.36,0.03,0.95,0.58,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.6738,-0.336307,-0.254524,'\'(-inf-0.5]\''
0.95,0.222222,0.362308,0.538462,0.596667,0,1,0.806667,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.5459,-0.443536,-0.50881,'\'(-inf-0.5]\''
0.9,0.222222,0.864615,0,0.696667,0.17,1,0.73,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8521,0.007842,-0.209762,'\'(0.5-inf)\''
0.575758,1,0.124615,0.846154,0.126667,0,0.38,0.273333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.2389,-0.493411,-0.231429,'\'(-inf-0.5]\''
0.95,0.555556,0.876923,0,0.776667,0.41,1,0.74,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.8658,0.020624,-0.127381,'\'(0.5-inf)\''
0.95122,0,0.783846,0.076923,0.843333,0.53,1,0.76,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8292,0.051019,-0.072143,'\'(0.5-inf)\''
1,0,0.926154,0,1,1,1,0.9,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.9336,-0.041226,-0.014524,'\'(0.5-inf)\''
0.804878,0.333333,0.878462,0,0.906667,0.84,0.98,0.68,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8499,0.137746,-0.040476,'\'(0.5-inf)\''
0.852941,0.888889,0.619231,0.230769,0.553333,0.13,1,0.606667,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.6576,-0.03472,-0.503095,'\'(-inf-0.5]\''
0.891304,0.444444,0.696154,0.153846,0.626667,0.4,1,0.76,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7495,0.14212,-0.277619,'\'(-inf-0.5]\''
0.970588,0.111111,0.939231,0,0.97,0.95,1,0.806667,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.9214,0.100667,-0.029524,'\'(0.5-inf)\''
0.717391,0.777778,0.812308,0,0.636667,0.46,0.95,0.633333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7765,0.048797,-0.081667,'\'(0.5-inf)\''
0.588235,1,0.568462,0.230769,0.326667,0.03,0.86,0.52,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.592,-0.1966,0.129762,'\'(-inf-0.5]\''
0.787879,0.555556,0.676923,0.230769,0.57,0.31,1,0.56,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.7159,-0.065546,-0.57,'\'(0.5-inf)\''
0.909091,0.444444,0.502308,0.307692,0.393333,0.07,1,0.56,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.5423,-0.219458,-0.567619,'\'(-inf-0.5]\''
1,0.444444,0.87,0.076923,1,1,1,0.92,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8428,-0.923209,-0.241429,'\'(0.5-inf)\''
0.733333,0.888889,0.853077,0,0.72,0.28,0.95,0.72,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.7217,-0.190478,-0.182143,'\'(-inf-0.5]\''
0.794118,0.444444,0.89,0,0.706667,0.15,1,0.66,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8446,0.058488,-0.114524,'\'(0.5-inf)\''
0.75,0.555556,0.613077,0.307692,0.346667,0.08,0.81,0.56,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.6507,-0.045404,-0.41119,'\'(-inf-0.5]\''
0.95,0.222222,0.76,0.076923,0.926667,0.8,1,0.846667,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8096,0.06925,-0.18881,'\'(0.5-inf)\''
0.941176,0.555556,0.445385,0.538462,0.333333,0,1,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.4916,-0.535007,-0.827143,'\'(-inf-0.5]\''
0.913043,0.222222,0.925385,0,0.676667,0.31,0.87,0.82,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8928,0.051015,-0.028571,'\'(0.5-inf)\''
0.975,0.111111,0.960769,0,0.973333,0.92,1,0.88,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.9396,0.164603,0.026429,'\'(0.5-inf)\''
0.9,0.555556,0.867692,0,0.55,0.08,1,0.67,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8118,-0.298456,-0.01119,'\'(0.5-inf)\''
1,0.111111,0.876154,0,1,1,1,0.84,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8908,0.095573,-0.125952,'\'(0.5-inf)\''
1,0.111111,0.992308,0,0.95,0.85,1,0.88,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.9633,0.122418,0.01119,'\'(0.5-inf)\''
0.775,0.777778,0.52,0.307692,0.083333,0,0.25,0.56,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.5429,-0.127183,-0.436429,'\'(-inf-0.5]\''
0.869565,0.222222,0.771538,0,0.863333,0.69,1,0.74,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.804,0.11606,0.01881,'\'(-inf-0.5]\''
1,0,0.726923,0.076923,0.986667,0.96,1,0.88,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8306,0.041639,0.002619,'\'(-inf-0.5]\''
0.75,0.777778,0.826923,0,0.306667,0.15,0.59,0.573333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7376,-0.149676,-0.127381,'\'(-inf-0.5]\''
0.882353,0.444444,0.67,0.076923,0.693333,0.16,1,0.75,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.7508,0.012574,-0.355952,'\'(0.5-inf)\''
0.85,0.777778,0.763846,0.076923,0.306667,0.04,0.83,0.51,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.6767,-0.409693,-0.1,'\'(-inf-0.5]\''
0.823529,0.666667,0.473077,0.384615,0.606667,0.17,0.95,0.68,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.5696,0.052712,-0.767143,'\'(-inf-0.5]\''
0.95,0.666667,0.9,0,0.416667,0.13,0.95,0.69,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8391,-0.176019,-0.120714,'\'(-inf-0.5]\''
0.925,0.888889,0.89,0,0.646667,0.48,0.87,0.606667,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7996,-0.231722,-0.074286,'\'(-inf-0.5]\''
0.823529,0.777778,0.882308,0,0.393333,0.1,0.95,0.65,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.7975,-0.145465,-0.11881,'\'(-inf-0.5]\''
0.8875,0.444444,0.900769,0,0.763333,0.39,1,0.62,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8701,-0.102931,-0.088095,'\'(0.5-inf)\''
0.923077,0.222222,0.904615,0,0.703333,0.48,1,0.71,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8368,0.066975,-0.005476,'\'(0.5-inf)\''
0.8,0.666667,0.886923,0,0.526667,0.15,1,0.75,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8278,-0.034111,-0.087143,'\'(-inf-0.5]\''
1,0,0.97,0,0.936667,0.92,0.95,0.913333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.9634,-0.081627,-0.043333,'\'(-inf-0.5]\''
0.85,0.777778,0.427692,0.461538,0.483333,0.06,0.96,0.486667,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.5379,-0.335597,-0.419762,'\'(-inf-0.5]\''
0.925,0.222222,0.953846,0,0.813333,0.44,1,0.82,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.9094,0.077871,-0.02881,'\'(0.5-inf)\''
0.735294,0.888889,0.856923,0,0.46,0.1,0.98,0.626667,'\'(0.5-inf)\'','\'(3.428571-4.285714]\'',0.791,-0.078868,-0.096429,'\'(-inf-0.5]\''
1,0,0.946923,0,0.9,0.7,1,0.92,'\'(-inf-0.5]\'','\'(5.142857-inf)\'',0.9479,-0.01918,-0.080952,'\'(-inf-0.5]\''
0.73913,0.888889,0.732308,0,0.346667,0.06,0.78,0.5,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7044,-0.104956,-0.301429,'\'(-inf-0.5]\''
0.939394,0,0.813846,0.076923,0.766667,0.57,0.93,0.79,'\'(0.5-inf)\'','\'(5.142857-inf)\'',0.849,-0.082014,-0.285714,'\'(-inf-0.5]\''
0.909091,0.111111,0.730769,0.076923,0.876667,0.76,0.95,0.753333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7705,-0.059034,-0.202619,'\'(-inf-0.5]\''
0.85,0.333333,0.773846,0.076923,0.75,0.45,1,0.71,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7978,-0.118911,0.107381,'\'(0.5-inf)\''
0.85,0.777778,0.759231,0,0.5,0.22,0.98,0.573333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7366,-0.272874,-0.379286,'\'(-inf-0.5]\''
1,0,0.927692,0,0.99,0.97,1,0.85,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.9387,0.031983,-0.029762,'\'(0.5-inf)\''
0.902439,0.222222,0.912308,0,0.716667,0.39,0.96,0.75,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8807,0.059688,-0.109524,'\'(0.5-inf)\''
1,0,0.962308,0,0.983333,0.95,1,0.78,'\'(-inf-0.5]\'','\'(0.857143-1.714286]\'',0.943,-0.030528,0.023571,'\'(0.5-inf)\''
0.775,0.555556,0.648462,0.153846,0.336667,0.06,0.7,0.61,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.6722,-0.0113,-0.195238,'\'(-inf-0.5]\''
1,0.111111,0.851538,0,0.99,0.97,1,0.87,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8964,0.058195,-0.219524,'\'(0.5-inf)\''
0.95,0.222222,0.910769,0,0.936667,0.85,1,0.78,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8916,-0.070802,-0.106667,'\'(-inf-0.5]\''
0.969697,0.333333,0.813846,0,0.86,0.58,1,0.72,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.8408,-0.036914,-0.087619,'\'(0.5-inf)\''
0.794118,0.777778,0.856923,0,0.416667,0.12,0.93,0.76,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8003,-0.022675,-0.142857,'\'(-inf-0.5]\''
0.75,0.777778,0.313846,0.538462,0.296667,0,0.77,0,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.4875,-0.306179,-0.551905,'\'(-inf-0.5]\''
0.853659,0.111111,0.673846,0.153846,0.78,0.34,1,0.653333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7638,0.031556,-0.459048,'\'(0.5-inf)\''
0.891304,0.444444,0.580769,0.153846,0.543333,0.12,0.93,0.62,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.6732,-0.122031,-0.747381,'\'(-inf-0.5]\''
0.826087,0.555556,0.423077,0.384615,0.573333,0.09,0.85,0.733333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.5877,-0.050813,-0.454524,'\'(-inf-0.5]\''
1,0,0.983846,0,1,1,1,0.926667,'\'(-inf-0.5]\'','\'(4.285714-5.142857]\'',0.9727,0.04158,0.020714,'\'(0.5-inf)\''
